Customer_Segments,Recency,Recency.1,Recency.2,Recency.3,Count,Frequency,Frequency.1,Frequency.2,Frequency.3,Frequency.4,Monetary,Monetary.1,Monetary.2,Monetary.3,Monetary.4,Ratio,label
관심 고객,42.63095905776781,38.0,2,88,1783,1.0,1.0,1,1,1783,263.3614413909142,179.9,18.7,1957.2,1783,19.32,관심 고객 (19%)
신규 고객,40.66285714285714,38.0,2,88,525,1.0,1.0,1,1,525,56.81693333333333,53.38,14.29,97.59,525,5.69,신규 고객 (5%)
이탈 고객,115.87066779374472,119.0,60,311,1183,1.0,1.0,1,1,1183,73.95663567202028,71.05,16.29,148.94,1183,12.82,이탈 고객 (12%)
이탈 위험 고객,114.31148696264977,114.0,60,315,2838,1.0095137420718816,1.0,1,3,2838,246.00538759689923,157.785,14.38,1919.44,2838,30.75,이탈 위험 고객 (30%)
잠재적 충성고객,43.57072368421053,40.0,2,88,1824,1.0082236842105263,1.0,1,2,1824,79.56769736842107,76.36,13.89,149.01,1824,19.76,잠재적 충성고객 (19%)
충성 고객,47.07428040854224,44.0,2,88,1077,1.0557103064066853,1.0,1,3,1077,404.0692386258124,272.16,97.67,1953.15,1077,11.67,충성 고객 (11%)
